mae_x_cm,mae_z_cm,mae_radius_cm,median_radius_cm,p90_radius_cm,rmse_radius_cm,bias_x_cm,bias_z_cm,k,metric,normalization,weighting,virtual_quadrants,training_events,reference_events,test_events
0.7920516346666668,0.8609829560000001,1.3327087112906653,0.9915996070869519,2.7359372156924846,1.7301391728043405,-0.06513808533333325,0.008875731333333348,12,euclidean,sqrt_l1,uniform,False,10000,10000,1000
0.7993258319197597,0.8473099543158779,1.3329119385948605,1.0118897608436304,2.733703265590577,1.6977278411670527,-0.069465257311119,-0.026974257118625056,16,euclidean,l1,inverse,False,10000,10000,1000
0.8017320546666665,0.8522348346666667,1.3342495975164612,1.033096803509868,2.671636880589525,1.693558900542116,-0.0651380853333334,-0.022374268666666596,12,euclidean,l1,uniform,False,10000,10000,1000
0.801636776164007,0.8522099046967407,1.3359318053554112,1.0131384074863181,2.760228111247146,1.7661304792429806,-0.028088612186628607,0.021246597009470385,5,euclidean,sqrt_l1,inverse2,False,10000,10000,1000
0.8003296606636184,0.8457944896279678,1.338735443117579,0.9711053766003724,2.8553520353274733,1.7294341487240168,-0.05275050018727221,-0.023128293172201764,24,euclidean,sqrt_l1,inverse,False,10000,10000,1000
0.8054543837294348,0.8564185827351136,1.3415873086609718,1.0086162347914038,2.7194282877691798,1.7699085993179815,-0.030812431734587493,0.022687985504099683,5,euclidean,sqrt_l1,inverse,False,10000,10000,1000
0.8101870079999999,0.8619649160000001,1.3492131518944388,1.0044382188549592,2.738024707454664,1.7759465775670413,-0.033704751999999866,0.023592398000000007,5,euclidean,sqrt_l1,uniform,False,10000,10000,1000
0.8136434029279533,0.8546304141255932,1.352710392160051,1.0526884051150835,2.7297060759153955,1.7151686344116068,-0.06577098526430572,-0.03562289320396438,24,euclidean,l1,inverse2,False,10000,10000,1000
0.81302378,0.8557705239999999,1.35642011341468,0.9774880591420756,2.92702478279895,1.7473642964619216,-0.05459641866666647,-0.026165935333333265,24,euclidean,sqrt_l1,uniform,False,10000,10000,1000
0.817314796922848,0.8716377066945695,1.3711325541737889,0.9713076465715976,2.9478456446363843,1.77829314285265,-0.06744367180775798,-0.030246741937251125,32,euclidean,sqrt_l1,inverse2,False,10000,10000,1000
0.8344639119999999,0.8859651480000001,1.389750597077354,1.0365649220037763,2.841276552788844,1.7672038524239606,-0.07617975199999995,-0.033145101999999954,16,euclidean,l1,uniform,False,10000,10000,1000
0.8338726120318296,0.8881077910799932,1.3965733984737316,0.9922601849043029,3.088783767861923,1.8063820592411628,-0.07175478034767395,-0.033918970835241626,32,euclidean,sqrt_l1,inverse,False,10000,10000,1000
0.850406234082196,0.8885101186921885,1.4094071341439596,1.113923439476355,2.889688535631843,1.7769980333884232,-0.0751260455889128,-0.038085088236482045,32,euclidean,l1,inverse2,False,10000,10000,1000
0.85067028,0.904693072,1.422502181573789,1.0237498317785807,3.1432855737882157,1.8352105920090171,-0.07614850199999995,-0.03770760199999996,32,euclidean,sqrt_l1,uniform,False,10000,10000,1000
0.8671615199053879,0.9135321943781893,1.4379230921848987,1.1098856409915645,2.9519164639245408,1.81422250022407,-0.07175680512519454,-0.045116624486310285,24,euclidean,l1,inverse,False,10000,10000,1000
0.8951822141527683,0.9153527116920194,1.4570580045631674,1.1081721545048446,2.9176443672404924,1.9110015156646296,-0.017984633683786236,0.025075090004911017,3,euclidean,sqrt_l1,inverse2,False,10000,10000,1000
0.8981545117410384,0.9197367948108759,1.4625924782553215,1.1177403510793806,2.8856135729874706,1.9138067674716575,-0.020312552511292953,0.027420468370820284,3,euclidean,sqrt_l1,inverse,False,10000,10000,1000
0.902226326,0.9251727126666667,1.46986085491941,1.1259796798536867,2.8623784797642005,1.9188833277875383,-0.02297141866666662,0.02945906466666675,3,euclidean,sqrt_l1,uniform,False,10000,10000,1000
0.9209407178084912,0.9618737954114515,1.5219573606373278,1.1812309277142239,3.0955206135292963,1.9068306619810758,-0.08284691332470855,-0.04759461989692276,32,euclidean,l1,inverse,False,10000,10000,1000
0.9241434480000001,0.9721389753333333,1.5278926615014703,1.1571236554442166,3.1075267060877656,1.9225996220164103,-0.07647141866666644,-0.05341593533333346,24,euclidean,l1,uniform,False,10000,10000,1000
0.9862079799999999,0.99444276,1.6014999656902082,1.1903778877042366,3.1900824023684184,2.150081848854152,-0.013304751999999958,0.02779239800000004,1,euclidean,l1,uniform,False,10000,10000,1000
0.9862079799999999,0.99444276,1.6014999656902082,1.1903778877042366,3.1900824023684184,2.150081848854152,-0.013304751999999958,0.02779239800000004,1,euclidean,l1,inverse,False,10000,10000,1000
