channel,energy_keV,counts,count_rate_cps
442,1120.580805,19,0.0002406434045
443,1123.260229,26,0.0003293015009
444,1125.940388,18,0.0002279779621
445,1128.621284,30,0.0003799632702
446,1131.302916,26,0.0003293015009
447,1133.985283,21,0.0002659742892
448,1136.668387,34,0.0004306250396
449,1139.352227,35,0.0004432904819
450,1142.036803,25,0.0003166360585
451,1144.722115,29,0.0003672978279
452,1147.408163,22,0.0002786397315
453,1150.094947,19,0.0002406434045
454,1152.782467,17,0.0002153125198
455,1155.470723,23,0.0002913051738
456,1158.159715,25,0.0003166360585
457,1160.849443,23,0.0002913051738
458,1163.539907,21,0.0002659742892
459,1166.231107,17,0.0002153125198
460,1168.923043,34,0.0004306250396
461,1171.615715,25,0.0003166360585
462,1174.309124,16,0.0002026470774
463,1177.003268,18,0.0002279779621
464,1179.698148,16,0.0002026470774
465,1182.393764,13,0.0001646507504
466,1185.090117,18,0.0002279779621
467,1187.787205,21,0.0002659742892
468,1190.485030,17,0.0002153125198
469,1193.183590,15,0.0001899816351
470,1195.882887,16,0.0002026470774
471,1198.582919,24,0.0003039706162
472,1201.283688,21,0.0002659742892
473,1203.985192,20,0.0002533088468
474,1206.687433,9,0.0001139889811
475,1209.390409,17,0.0002153125198
476,1212.094122,13,0.0001646507504
477,1214.798571,13,0.0001646507504
478,1217.503756,13,0.0001646507504
479,1220.209676,12,0.0001519853081
480,1222.916333,17,0.0002153125198
481,1225.623726,16,0.0002026470774
482,1228.331855,12,0.0001519853081
483,1231.040720,19,0.0002406434045
484,1233.750321,16,0.0002026470774
485,1236.460658,21,0.0002659742892
486,1239.171731,16,0.0002026470774
487,1241.883540,19,0.0002406434045
488,1244.596085,11,0.0001393198657
489,1247.309366,11,0.0001393198657
490,1250.023383,11,0.0001393198657
491,1252.738136,12,0.0001519853081
492,1255.453625,16,0.0002026470774
493,1258.169851,13,0.0001646507504
494,1260.886812,15,0.0001899816351
495,1263.604509,10,0.0001266544234
496,1266.322942,15,0.0001899816351
497,1269.042112,10,0.0001266544234
498,1271.762017,8,0.0001013235387
499,1274.482659,16,0.0002026470774
500,1277.204036,13,0.0001646507504
501,1279.926149,14,0.0001773161928
502,1282.648999,12,0.0001519853081
503,1285.372585,10,0.0001266544234
504,1288.096906,8,0.0001013235387
505,1290.821964,13,0.0001646507504
506,1293.547757,6,7.599265404e-05
507,1296.274287,19,0.0002406434045
508,1299.001553,11,0.0001393198657
509,1301.729554,22,0.0002786397315
510,1304.458292,9,0.0001139889811
511,1307.187766,12,0.0001519853081
512,1309.917976,12,0.0001519853081
513,1312.648922,16,0.0002026470774
514,1315.380604,15,0.0001899816351
515,1318.113021,14,0.0001773161928
516,1320.846175,11,0.0001393198657
517,1323.580065,12,0.0001519853081
518,1326.314691,17,0.0002153125198
519,1329.050054,18,0.0002279779621
520,1331.786152,16,0.0002026470774
521,1334.522986,30,0.0003799632702
522,1337.260556,11,0.0001393198657
523,1339.998862,21,0.0002659742892
524,1342.737904,19,0.0002406434045
525,1345.477682,13,0.0001646507504
526,1348.218197,21,0.0002659742892
527,1350.959447,22,0.0002786397315
528,1353.701433,20,0.0002533088468
529,1356.444156,26,0.0003293015009
530,1359.187614,19,0.0002406434045
531,1361.931809,19,0.0002406434045
532,1364.676739,17,0.0002153125198
533,1367.422406,20,0.0002533088468
534,1370.168808,18,0.0002279779621
535,1372.915947,20,0.0002533088468
536,1375.663821,21,0.0002659742892
537,1378.412432,23,0.0002913051738
538,1381.161779,14,0.0001773161928
539,1383.911861,20,0.0002533088468
540,1386.662680,15,0.0001899816351
541,1389.414235,22,0.0002786397315
542,1392.166525,18,0.0002279779621
543,1394.919552,19,0.0002406434045
