mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p90_err_r_cm,p95_err_r_cm,rmse_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,feature_group,n_features,k,metric,normalization,weighting,training_events,training_positions,test_events
2.8092712136575537,1.982487163791236,2.9768541121278425,6.168209620282315,8.161938565553037,3.7067730487334583,0.01791433366666535,2.505935995662359,0.2207213916666654,2.7249068235045373,face,16,3,euclidean,l1,uniform,2560,256,1000
2.6672784541935965,1.8770969527366352,2.9820907219072086,5.754812822726749,7.032996393711119,3.45669655554297,0.10130422597986709,2.3921158356963717,0.24081385465250832,2.4839829783086724,face,16,16,euclidean,l1,inverse2,2560,256,1000
2.7857988565779337,1.980791835620118,2.989684518594173,6.029553189319993,8.107026525734952,3.6701983331488326,0.02203254355094243,2.482444542604999,0.21576417404982176,2.6970765726442067,face,16,3,euclidean,l1,inverse2,2560,256,1000
2.6943139288970643,1.8915184358638943,2.989854247849982,6.038535563604801,7.123344619169939,3.490007881575996,0.10827891699999799,2.4237720618907277,0.25301305833333143,2.4983715907607076,face,16,12,euclidean,l1,uniform,2560,256,1000
2.7934575522454566,1.9860068743349206,2.9975912707207573,6.0956831004986025,8.242943452512733,3.682634105425127,0.01987814796163647,2.4892415905937613,0.21841115444503972,2.7075632785864965,face,16,3,euclidean,l1,inverse,2560,256,1000
2.7062619065106666,1.9239491834364904,3.0009349396710814,5.793709486578388,7.50416639659091,3.570697125244326,0.05634826930444034,2.458874969220566,0.21347646582691976,2.5822041672820695,face,16,5,euclidean,l1,inverse,2560,256,1000
2.6663088739032745,1.8869737586490776,3.01032245037879,5.9074401058486306,7.092350616383298,3.4611086254175856,0.09827410100225613,2.40104281268871,0.24384228855459616,2.481344705214293,face,16,12,euclidean,l1,inverse,2560,256,1000
2.7017879459984764,1.89432494026977,3.013371247265408,5.906862985669152,7.031950519561645,3.489221243799473,0.11589535869885917,2.416795045609881,0.2530611310661314,2.5036781398560697,face,16,16,euclidean,l1,inverse,2560,256,1000
2.6450786753401117,1.873348545488119,3.0163256929790374,5.806001336466746,7.093304697107883,3.4401032621456746,0.08799576692932189,2.3831908161947988,0.23359973733668268,2.4706646226659177,face,16,12,euclidean,l1,inverse2,2560,256,1000
2.6929065239738392,1.93155703928662,3.0265240326933114,5.989844328866733,7.225786089671621,3.5124550640115553,0.08210704199999995,2.4275288941050417,0.23686722500000007,2.5286128956540908,face,16,8,euclidean,l1,uniform,2560,256,1000
2.6073410562258967,1.9438302588316763,3.029585924037165,5.674227154549471,6.919168475746975,3.3297563372520145,-0.04699452050000005,2.3171433293488097,0.06694535000000001,2.3921800874223544,face,16,16,euclidean,sqrt_l1,uniform,2560,256,1000
2.602952971667517,1.9539891483436949,3.051815529226151,5.465236014437523,6.8906527274941105,3.3107736344677736,-0.05297743896287186,2.318581379996401,0.08452414389245232,2.363559547892377,face,16,24,euclidean,sqrt_l1,inverse2,2560,256,1000
2.724832788618678,1.9494338993059053,3.0578363907338417,5.9422363516892815,7.518984499589155,3.591692609741582,0.05874766699999994,2.474459664366876,0.21655472500000003,2.596116466249695,face,16,5,euclidean,l1,uniform,2560,256,1000
2.629229257691406,2.004596808835863,3.0615955236494234,5.531643365829999,6.9257594197976635,3.334480037514735,-0.04927626851191794,2.33536221088435,0.09456703177909373,2.38003947340599,face,16,24,euclidean,sqrt_l1,inverse,2560,256,1000
2.7530885033410515,2.041930374430451,3.06679780513525,5.975369890828418,7.016407517684286,3.5015664593439317,0.1386111811812708,2.4414472698888576,0.29537971531645135,2.491185929209477,face,16,32,euclidean,l1,inverse2,2560,256,1000
2.7452200970976404,1.9199867329906275,3.075345606861993,6.0810288320204915,7.020181250646534,3.53018563311329,0.12976329199999992,2.446591314135336,0.2638203500000001,2.530286548177202,face,16,16,euclidean,l1,uniform,2560,256,1000
2.656781429771029,2.0297290998356656,3.076269202912692,5.589255397161835,6.922470345552296,3.360770611960047,-0.0464085830000021,2.3542051276633433,0.1031432666666646,2.3981239153053515,face,16,24,euclidean,sqrt_l1,uniform,2560,256,1000
2.660907953571611,1.9691217155494505,3.0781744143417877,5.580297993526409,6.886178467297776,3.3548695711494005,-0.021647387466961016,2.359417863143296,0.1100342185146133,2.3847379049708044,face,16,32,euclidean,sqrt_l1,inverse2,2560,256,1000
