reference,k,metric,normalization,weighting,n_events,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,median_err_r_cm,p68_err_r_cm,p95_err_r_cm
events,5,euclidean,l1,inverse,1000,0.08369845847974287,2.2243762851422844,0.09391293534939736,2.286684244732973,2.3652842802330274,3.210504505916303,5.67259632454553
events,24,euclidean,sqrt,inverse2,1000,-0.006687675763700383,2.1965348408312924,0.10642117037161336,2.290668273693533,2.3917807046713273,3.2147103503895402,5.983784590365247
templates,3,euclidean,l1,inverse,1000,0.03997885980621197,2.177215120875533,0.1420274259476909,2.3469106430002107,2.3835232950268486,3.2176176828532523,5.879374172474349
events,48,euclidean,sqrt,uniform,1000,0.01640177533333333,2.257674271778768,0.09243409829166657,2.3687211880045735,2.4618030956096724,3.2176237469042066,6.125961068762387
events,8,euclidean,none,inverse2,1000,0.012304736397183574,2.2472743983141896,0.06437067165957389,2.286964023370304,2.4652879469353723,3.217846548631893,6.056917134646801
events,5,euclidean,l1,uniform,1000,0.08323258320000006,2.235469397170936,0.0916133900000001,2.2989520741431577,2.372780675830014,3.218578584083382,5.670740560538481
events,24,euclidean,sqrt,inverse,1000,-0.0059424640619752086,2.2039030800050923,0.10892168930809411,2.2983027867228962,2.414797055539058,3.22009262225082,5.973434818780113
templates,3,cosine,l1,inverse,1000,-0.019344812343201723,2.278721699723096,0.17464866245116464,2.4335637650007955,2.4102443190515555,3.221923317742695,6.294717565585631
templates,3,cosine,none,inverse,1000,-0.019344812343201356,2.278721699723096,0.1746486624511652,2.433563765000795,2.41024431905156,3.2219233177427,6.294717565585631
events,32,euclidean,sqrt,inverse2,1000,0.016417003512476575,2.2012309233537435,0.10305405863430009,2.3037830968358115,2.41619063919941,3.2233855589701985,5.930662536074387
events,3,euclidean,l1,inverse2,1000,0.07539037405781011,2.319356304472816,0.10322783095647844,2.3157261284525643,2.371237402570734,3.22377325992863,6.061379250779981
events,12,cosine,l1,inverse2,1000,0.04439201636840481,2.3356929475832766,0.0881202343663557,2.423667082806745,2.4580293951299335,3.225480845712074,6.4429080889857655
events,12,cosine,none,inverse2,1000,0.044392016368405667,2.335692947583276,0.08812023436635613,2.423667082806745,2.4580293951299588,3.225480845712091,6.442908088985837
events,8,euclidean,none,uniform,1000,0.01936894774999997,2.26845011165334,0.05941642312499998,2.30926350678081,2.486474668217543,3.2269583086178044,6.162452385345357
events,12,euclidean,none,uniform,1000,0.044495209916666646,2.272705245420988,0.06711844141666659,2.298516850191676,2.435677649683763,3.2273501966002667,6.183623100840797
events,16,euclidean,none,inverse2,1000,0.038698116653184796,2.2457864839055155,0.0767706276339022,2.286365612916487,2.4038942315354532,3.2297104840839452,5.925092918505685
events,8,euclidean,none,inverse,1000,0.016020806549689418,2.256321299966,0.06179118034459823,2.2966147482920367,2.478419854929462,3.2302959979799675,6.101813010175178
events,16,euclidean,sqrt,inverse2,1000,-0.01884881234102489,2.1988575669233055,0.10055966414736145,2.2906127397985285,2.3993994678828363,3.2312952420499297,5.922262802102274
templates,12,cosine,l1,inverse2,1000,0.045875958140484084,2.3232320336231287,0.06819841102315163,2.4404366538068696,2.3973225665488638,3.2368419589752686,6.510677157888277
templates,12,cosine,none,inverse2,1000,0.04587595814048416,2.3232320336231287,0.0681984110231526,2.44043665380687,2.3973225665488567,3.2368419589752695,6.510677157888276
events,16,euclidean,sqrt,inverse,1000,-0.01850871505893463,2.2032150895614286,0.10320705684584397,2.297212269898467,2.4145606485514484,3.238391164925546,5.895639649645081
templates,3,euclidean,l1,uniform,1000,0.038182077333333314,2.209679991388663,0.14514874433333336,2.37155104876479,2.4001850246446788,3.239750740174324,6.024459135945962
events,24,euclidean,sqrt,uniform,1000,-0.005378527250000033,2.211524198657025,0.11131036166666675,2.3062629678854285,2.42652613691625,3.2433199495106773,5.988127073325309
events,16,euclidean,none,inverse,1000,0.041376778484030666,2.2643817011168013,0.07785829702505236,2.3074980312773636,2.4122339841435463,3.243674089071863,5.943078510340316
templates,8,cosine,l1,inverse2,1000,0.0446377344503735,2.301047165664561,0.0894257001769007,2.397868218398796,2.357171106500948,3.2446679154583737,6.382901084789036
templates,8,cosine,none,inverse2,1000,0.044637734450373855,2.3010471656645617,0.08942570017690199,2.3978682183987963,2.3571711065009673,3.2446679154584177,6.3829010847890935
events,12,cosine,l1,inverse,1000,0.04094124303929648,2.350430014186049,0.09031339249445812,2.443401403245476,2.448916083594961,3.2467831162183725,6.465972096771395
events,12,cosine,none,inverse,1000,0.04094124303929712,2.3504300141860486,0.0903133924944584,2.443401403245476,2.4489160835949555,3.246783116218384,6.46597209677139
events,12,euclidean,sqrt,inverse2,1000,0.00022553305970254912,2.232150557876928,0.07734235265213228,2.299378995069519,2.4638231273509175,3.250551279025399,5.912742074830782
events,8,cosine,none,inverse,1000,0.06325424200986286,2.346212042671567,0.1031143914936136,2.4658489833860173,2.4896713600561027,3.254244767577364,6.341373971152914
events,8,cosine,l1,inverse,1000,0.06325424200986204,2.346212042671568,0.1031143914936137,2.465848983386017,2.48967136005611,3.2542447675773727,6.341373971152916
events,12,euclidean,sqrt,inverse,1000,0.0016147181256100822,2.2351657064506294,0.07880399642355122,2.303222822806168,2.479872802869618,3.2554938852693343,5.920178851548774
events,32,euclidean,sqrt,inverse,1000,0.01841062480856773,2.2101125108545223,0.10494345732770481,2.3135293022459846,2.395054706275153,3.2604205548400915,5.985317303385211
events,16,euclidean,sqrt,uniform,1000,-0.01832044631249996,2.2081532854588097,0.10581793681250004,2.3045921287167537,2.4030490908724973,3.2631195737441594,5.869663908093593
events,32,euclidean,sqrt,uniform,1000,0.020221219781249935,2.219047721228561,0.10667020953125002,2.32336439386728,2.3986829986469997,3.2689602433276934,6.030995586550818
templates,16,cosine,l1,inverse2,1000,0.04048931874912981,2.3576960966768765,0.0767037967437054,2.4747953622378858,2.4132865190523356,3.2697638048459905,6.573213135285577
templates,16,cosine,none,inverse2,1000,0.040489318749129796,2.3576960966768774,0.07670379674370605,2.474795362237887,2.4132865190523454,3.2697638048459994,6.573213135285577
templates,12,euclidean,l1,inverse2,1000,0.0460996677238228,2.2955776887520356,0.038833679090462314,2.453989227629381,2.408602282404157,3.269916722251055,6.2810739375184514
events,8,cosine,none,inverse2,1000,0.06553505692040007,2.3371631403902793,0.10033650333380313,2.446895226755622,2.4844358130645956,3.2701612777601228,6.322541681851972
events,8,cosine,l1,inverse2,1000,0.06553505692039881,2.33716314039028,0.10033650333380288,2.4468952267556214,2.484435813064568,3.2701612777601476,6.322541681851956
